DEPARTAMENTO,PROVINCIA,MUNICIPIO,CODIGO,COD_INE,Captura.ca,Riqueza.es,Abu.rrhh,Ap.suelo,Minero,Piscicol,Turismo,Agro.inten,Agro.exten,Agrosilvo,Ap.fores,Uso.limit,R.actv.prd,Acc.agua,Acc.salud,Acc.edu,Acc.vivien,Acc.EE,Clasifica,porc_i.CSV,latitude,longitude,area_km2,area_ha
Beni,Marban,San Andrés,"080602",80602,"18","53","13","65","7","72","0","2","11","8","14","41","8","43","30","36","27","43",Medio,"40",-15.37401,-64.14230,9970.60,997060.38
Santa Cruz,Guarayos,Ascención de Guarayos,"071501",71501,"28","67","21","68","17","70","0","0","1","0","18","41","7","43","29","37","31","46",Alto,"42",-15.34391,-63.43088,9038.38,903838.08
Santa Cruz,Guarayos,Urubicha,"071502",71502,"15","41","10","70","4","72","0","16","14","76","18","41","7","50","31","35","23","37",Muy Alto,"54",-14.95273,-63.01858,16336.59,1633659.00
Beni,Moxos,San Ignacio,"080501",80501,"17","52","9","77","15","72","51","10","59","8","18","45","10","41","35","38","30","44",Muy Alto,"63",-15.46859,-65.68675,25116.75,2511674.84
Beni,Marban,Loreto,"080601",80601,"22","58","24","63","10","72","51","0","24","0","18","0","11","41","36","38","31","44",Muy Alto,"50",-15.56809,-64.92042,6827.44,682744.40
Cochabamba,Campero,Pasorapa,"030202",30202,"10","55","10","56","17","39","18","7","1","76","10","0","9","42","30","36","29","44",Alto,"46",-18.39233,-64.60088,2380.29,238029.23
Cochabamba,Ayopaya,Ayopaya,"030301",30301,"27","66","29","79","57","39","0","0","11","1","1","0","0","42","33","38","34","44",Medio,"40",-17.14391,-66.80529,1498.99,149899.49
Cochabamba,Tapacari,Tapacarí,"031101",31101,"4","45","13","67","37","38","0","46","5","5","4","0","14","43","32","37","29","44",Alto,"41",-17.57083,-66.65151,1568.75,156875.07
La Paz,Inquisivi,Colquiri,"021004",21004,"8","61","24","70","53","42","0","0","0","0","1","0","14","42","35","37","25","47",Medio,"36",-17.42131,-66.99418,1011.46,101145.60
La Paz,Sur Yungas,La Asunta,"021105",21105,"24","59","25","60","30","66","10","0","4","0","11","0","15","44","36","38","28","43",Medio,"40",-16.10803,-67.15592,2831.98,283198.07
Cochabamba,Ayopaya,Morochata,"030302",30302,"13","57","33","76","18","39","0","0","0","0","3","0","0","43","35","39","34","45",Bajo,"31",-17.20286,-66.57062,737.64,73764.49
Potosi,Sur Chichas,Tupiza,"050801",50801,"4","42","12","59","36","0","64","0","0","0","6","0","9","44","32","38","30","48",Medio,"37",-21.49113,-65.79688,6164.23,616423.16
Potosi,Modesto Omiste,Villazón,"051501",51501,"4","37","7","62","11","0","11","6","6","18","5","0","7","40","32","36","30","44",Bajo,"25",-21.91320,-65.64194,2496.83,249683.25
Chuquisaca,Sur Cinti,Culpina,"010902",10902,"25","60","13","53","22","70","52","0","23","4","10","0","11","41","35","37","26","45",Muy Alto,"50",-20.86978,-64.57200,3895.73,389572.89
Tarija,Burnet O'Connor,Entre Ríos,"060601",60601,"24","60","12","51","52","65","51","18","2","35","10","0","9","43","29","36","25","45",Muy Alto,"59",-21.39800,-64.06588,5945.25,594525.36
Potosi,Cornelio Saavedra,Betanzos,"050301",50301,"6","66","15","52","50","57","51","0","16","1","2","0","11","43","34","38","30","46",Muy Alto,"49",-19.45822,-65.22764,1875.66,187565.80
Potosi,Jose Maria Linares,Puna,"051101",51101,"5","54","15","56","26","57","11","56","11","1","4","0","13","42","31","37","28","46",Alto,"47",-19.87680,-65.40012,1478.14,147813.84
Tarija,Gran Chaco,Caraparí,"060302",60302,"27","64","14","54","15","56","11","2","0","1","10","0","10","42","20","34","29","45",Medio,"34",-21.81594,-63.89891,2929.49,292948.59
Potosi,Sur Lipez,Mojinete,"051002",51002,"5","57","17","62","29","0","11","30","2","6","3","0","17","46","19","38","36","50",Medio,"34",-21.81396,-66.35122,399.75,39975.14
Chuquisaca,Luis Calvo,Macharetí,"011003",11003,"20","58","7","56","10","55","0","70","16","26","4","0","11","44","35","38","28","44",Muy Alto,"50",-20.72540,-62.87899,7975.00,797499.64
Pando,Manuripi,San Pablo,"090202",90202,"17","50","12","61","14","72","0","1","12","0","15","0","12","43","30","35","22","44",Medio,"34",-11.02538,-66.58998,2635.33,263532.97
La Paz,General Jose Manuel,Catacora,"021902",21902,"4","63","51","67","15","0","18","0","0","5","3","0","0","46","36","38","26","45",Bajo,"31",-17.25271,-69.48049,524.25,52425.49
La Paz,General Jose Manuel,Santiago de Machaca,"021901",21901,"4","48","35","71","14","0","18","0","9","1","3","0","0","42","36","39","32","45",Bajo,"28",-17.18952,-69.27058,1303.05,130305.14
La Paz,Franz Tamayo,Pelechuco,"020702",20702,"22","55","51","68","41","70","0","1","14","5","11","9","16","44","33","37","29","45",Alto,"47",-14.80074,-69.09067,2449.34,244934.11
Tarija,Arce,Padcaya,"060201",60201,"18","56","17","52","18","65","64","4","14","7","10","0","7","43","27","35","25","44",Muy Alto,"50",-22.13390,-64.52954,4448.50,444849.50
La Paz,Bautista Saavedra,Gral. Juán José Pérez (Charazani),"021601",21601,"25","59","45","61","44","54","0","3","1","17","12","9","17","41","33","36","29","43",Alto,"45",-15.09655,-68.77374,2475.95,247595.48
Tarija,Gran Chaco,Yacuiba,"060301",60301,"13","34","6","62","3","70","51","18","8","12","9","0","11","44","27","36","30","43",Alto,"46",-21.79605,-63.28447,3925.13,392512.85
Santa Cruz,Cordillera,Charagua,"070702",70702,"21","63","14","76","14","72","72","0","0","0","10","57","33","41","35","37","27","44",Muy Alto,"60",-19.09049,-61.60096,70946.36,7094635.81
